no,title,category,note
51,Template library,Workflow,Reusable text
52,Style guide,Writing,Tone rules
53,Brand words,Writing,Word list
54,Content checklist,Review,Review steps
55,Page checklist,Review,Page checks
56,Title checklist,Review,Headline checks
57,Snippet checklist,Review,Meta checks
58,Readability check,Review,Simple text
59,Update log,Content,Track changes
60,Content score,Planning,Rank pages
61,Priority list,Planning,Next tasks
62,Topic group,Planning,Related topics
63,Main page plan,Planning,Main page
64,Helper page plan,Planning,Helper page
65,Glossary item,Education,Term note
66,Example text,Education,Sample use
67,Output review,Review,Check result
68,Revision note,Writing,Improve draft
69,Local idea,Content,City angle
70,Seasonal idea,Content,Date angle
71,Evergreen idea,Content,Stable topic
72,Trend note,Content,Current angle
73,Archive idea,Content,Old page refresh
74,Short guide,Content,Small guide
75,Long guide,Content,Deep guide
