no,title,category,note
76,Mini rehber,Icerik,Kompakt rehber
77,Nasil yapilir sayfasi,Icerik,Adim sayfasi
78,Kontrol sayfasi,Icerik,Liste sayfasi
79,Kaynak sayfasi,Icerik,Faydali baglantilar
80,Karsilastirma sayfasi,Icerik,Secenek karsilastirma
81,Arac listesi,Icerik,Faydali araclar
82,Is akisi haritasi,Is akisi,Adimlari haritalama
83,Gunluk rutin,Is akisi,Gunluk sistem
84,Haftalik rutin,Is akisi,Haftalik sistem
85,Aylik rutin,Is akisi,Aylik sistem
86,Icerik denetimi,Kontrol,Sayfa inceleme
87,Fikir bankasi,Planlama,Konu havuzu
88,Taslak bankasi,Yazim,Taslak arsivi
89,Paylasim bankasi,Sosyal,Paylasim fikirleri
90,Video bankasi,Video,Video fikirleri
91,Eposta bankasi,Eposta,Eposta fikirleri
92,Ders bankasi,Egitim,Ders fikirleri
93,Musteri notu,Is akisi,Proje notu
94,Proje notu,Is akisi,Gorev notu
95,Teklif notu,Pazarlama,Sade teklif
96,Hakkinda sayfasi,Web,Site hikayesi
97,Iletisim sayfasi,Web,Iletisim metni
98,Politika sayfasi,Web,Politika ozeti
99,SSS sayfasi,Web,Soru sayfasi
100,Baslangic sayfasi,Web,Ilk sayfa
